T Drowning
N 2 9441
N 1 9982
N 0 10522
N 4 11063
N 3 11603
N 1 12144
N 1 12684
N 2 13765
N 4 14846
N 0 15387
N 3 15927
N 3 16468
N 2 17009
N 4 18090
N 3 18630
N 0 19171
N 3 19711
N 2 20252
N 1 21333
N 1 21873
N 3 22414
N 2 23495
N 1 24036
N 2 24576
N 3 25657
N 0 26198
N 1 26738
N 3 27819
N 2 28900
N 2 29982
N 3 30522
N 4 31063
N 4 32144
N 1 32684
N 3 33225
N 4 33765
N 4 34306
N 1 34846
N 2 35387
N 2 36468
N 1 37009
N 4 37549
N 2 38630
N 1 39711
N 1 40252
N 0 40792
N 2 41873
N 4 42955
N 4 44036
N 4 45117
N 4 46198
N 3 47279
N 0 48360
N 2 49441
N 0 49982
N 4 50522
N 4 51603
N 2 52144
N 0 52684
N 4 53225
N 4 53765
N 0 54846
N 3 55387
N 4 55927
N 0 57009
N 0 57549
N 3 58090
N 4 59171
N 1 59711
N 4 60252
N 1 60792
N 3 61333
N 3 61873
N 3 62414
N 0 62955
N 0 63495
N 0 64036
N 4 64576
N 2 65117
N 0 65657
N 2 66198
N 2 66738
N 1 67279
N 4 67819
N 4 68900
N 2 69441
N 4 69982
